PFN,Latitude,Longitude,Date_Received,District,Engineer,Status
0001-23-765-3000W,34.04395483,-118.1481822,1/23/2023,LA,Mike,Active
0002-23-3000W,34.04447045,-118.1509931,5/28/2003,Pomona,Salar,Not Active
0003-23NC,34.04271911,-118.1468947,9/30/1983,LA,Saul,Active
004-23-404-406,34.04264799,-118.1487937,2/2/1964,Pomona,Diego,Not Active
406,34.04210569,-118.1501992,6/6/1944,LA,Mike,Active
1249-23NC,34.0901146,-118.1486999,10/9/1924,Pomona,Salar,Not Active
1250-23NC,34.08822204,-118.151189,2/11/1905,LA,Saul,Active
1251-23NC,34.09158952,-118.1439578,5/28/2003,Pomona,Diego,Not Active
1252-23NC,34.10752106,-118.1356858,1/23/2023,LA,Mike,Active
1253-23NC,34.08354916,-118.3594799,5/28/2003,Pomona,Salar,Not Active
1254-23NC,34.08729891,-118.3613789,1/23/2023,LA,Saul,Active
1255-23NC,34.07667124,-118.3574736,5/28/2003,Pomona,Diego,Not Active
1256-23NC,34.10458023,-117.7875781,1/23/2023,LA,Mike,Active
1257-23NC,34.10759173,-117.795217,5/28/2003,Pomona,Salar,Not Active
1258-23NC,34.09934761,-117.7753043,1/23/2023,LA,Saul,Active
1259-23NC,34.10375405,-117.7847886,5/28/2003,Pomona,Diego,Not Active
1260-23NC,34.11597718,-118.1626582,1/23/2023,LA,Mike,Active
1261-23NC,35.11597718,-117.1626582,7/3/2023,LA,Salar,Not Active
1268-23NC,33.11597718,-116.1626582,12/11/2023,LA,Mike,Active
1291-23NC,34.11598718,-117.1636482,5/20/2024,LA,Chan,Not Active
1292-23NC,34.11599718,-116.1635382,5/21/2024,LA,Chan,Active
1293-23NC,35.11600718,-116.1646282,5/22/2024,LA,Chan,Not Active
1294-23NC,32.11601718,-116.1626182,5/23/2024,LA,Chan,Active
1295-23NC,37.11602718,-116.1656082,5/24/2024,LA,Chan,Not Active
1296-23NC,33.11603718,-116.1665982,5/25/2024,LA,Chan,Active
